"time","seconds_elapsed","rotationRateX","rotationRateY","rotationRateZ","gravityX","gravityY","gravityZ","accelerationX","accelerationY","accelerationZ","quaternionW","quaternionX","quaternionY","quaternionZ","label"
"1.71E+18","5.28772168","-6.247843266","-2.506766081","-4.499957561","0.291419625","0.56143111","-0.774512649","-0.060004771","0.327774882","0.225882888","0.465492293","-0.012793678","0.33552944","-0.818885496","D"
"1.71E+18","5.297741699","-6.347463608","-2.674866915","-4.369483948","0.245389089","0.621226192","-0.744219244","0.018282831","0.283497989","0.222292423","0.450877472","-0.045530006","0.354707468","-0.817813751","D"
"1.71E+18","5.307761475","-6.407478809","-2.829460621","-4.257959366","0.197291389","0.677327633","-0.708733678","0.068974495","0.219126225","0.161935031","0.436269181","-0.078846424","0.373385055","-0.814884119","D"
"1.71E+18","5.317781738","-6.144695282","-3.038825035","-4.237974644","0.147171363","0.7281214","-0.669462323","0.080062553","0.137280822","0.150739908","0.421600777","-0.112423897","0.390678512","-0.810545505","D"
"1.71E+18","5.327801758","-6.02342844","-3.229879379","-4.161774635","0.095146783","0.772618473","-0.627700508","0.097785376","0.119593561","0.15336585","0.406933062","-0.146093931","0.405963451","-0.805143371","D"
"1.71E+18","5.337821533","-6.162104607","-3.370673418","-4.133220196","0.042211231","0.812400877","-0.581569552","0.101816498","0.194694579","0.183513582","0.392145821","-0.180130954","0.420437937","-0.79812692","D"
"1.71E+18","5.347841553","-6.276652813","-3.449493647","-4.138859749","-0.011207602","0.847783208","-0.530224741","0.092140228","0.202357292","0.285778999","0.376875776","-0.214579985","0.434560778","-0.789352427","D"
"1.71E+18","5.357861816","-6.257884026","-3.469698429","-4.203674793","-0.064686142","0.877784967","-0.474667788","0.089527451","0.128257632","0.320355713","0.360880172","-0.248989176","0.447962601","-0.779165965","D"
"1.71E+18","5.367881592","-6.385425568","-3.486152411","-4.353641987","-0.118421249","0.901927173","-0.415335864","0.099454582","0.1205796","0.379294664","0.343835499","-0.283348177","0.460484389","-0.767753328","D"
"1.71E+18","5.377901611","-6.275688171","-3.367905378","-4.512681961","-0.172013775","0.920164704","-0.351722211","0.108003139","0.214051843","0.466178447","0.32529364","-0.317518117","0.472568661","-0.755013513","D"
"1.71E+18","5.387921875","-5.476371288","-3.400517941","-4.714076519","-0.225810215","0.929804146","-0.290644467","0.093562275","0.189092457","0.51565063","0.306237236","-0.350553821","0.481445517","-0.742658151","D"
"1.71E+18","5.397941895","-5.246124268","-3.253558636","-4.745824337","-0.278709769","0.931845605","-0.232346103","0.033775717","0.216500401","0.493546128","0.287075369","-0.382305163","0.487513805","-0.730589391","D"
"1.71E+18","5.407961426","-5.266305923","-3.074852467","-4.844102383","-0.329807073","0.92787087","-0.17402035","-0.051647395","0.453263223","0.56325686","0.267018856","-0.412772583","0.492553163","-0.718130359","D"
"1.71E+18","5.417981689","-5.831040859","-2.961245537","-4.946601391","-0.379444629","0.918399811","-0.112088166","-0.162990063","0.254940093","0.678067267","0.245201125","-0.442773941","0.497902757","-0.704216306","D"
"1.71E+18","5.428001709","-6.090406418","-2.745211363","-5.130521297","-0.42763117","0.902793288","-0.045783155","-0.261669397","0.051262617","0.757758379","0.221090868","-0.472389097","0.503941429","-0.688484208","D"
"1.71E+18","5.438021484","-5.122986317","-2.732400417","-5.314806938","-0.474834502","0.879910409","0.017038843","-0.371448517","0.121661365","0.718663692","0.196321005","-0.5008456","0.507615116","-0.673007325","D"
